,rule,group,candidate,answer
49,Bring me a vowel that has multiple colors in it,object color,dark purple,no
50,Bring me a vowel that has multiple colors in it,object color,dark red,no
51,Bring me a vowel that has multiple colors in it,object color,dark yellow,no
52,Bring me a vowel that has multiple colors in it,object color,red and yellow stripe,yes
53,Bring me a vowel that has multiple colors in it,object color,red and green stripe,yes
54,Bring me a vowel that has multiple colors in it,object color,red and blue stripe,yes
55,Bring me a vowel that has multiple colors in it,object color,red and purple stripe,yes
56,Bring me a vowel that has multiple colors in it,object color,yellow and green stripe,yes
57,Bring me a vowel that has multiple colors in it,object color,yellow and blue stripe,yes
58,Bring me a vowel that has multiple colors in it,object color,yellow and purple stripe,yes
59,Bring me a vowel that has multiple colors in it,object color,green and blue stripe,yes
60,Bring me a vowel that has multiple colors in it,object color,green and purple stripe,yes
61,Bring me a vowel that has multiple colors in it,object color,blue and purple stripe,yes
62,Bring me a vowel that has multiple colors in it,object color,dark red and yellow stripe,yes
63,Bring me a vowel that has multiple colors in it,object color,dark red and green stripe,yes
64,Bring me a vowel that has multiple colors in it,object color,dark red and blue stripe,yes
65,Bring me a vowel that has multiple colors in it,object color,dark red and purple stripe,yes
66,Bring me a vowel that has multiple colors in it,object color,dark yellow and green stripe,yes
67,Bring me a vowel that has multiple colors in it,object color,dark yellow and blue stripe,yes
68,Bring me a vowel that has multiple colors in it,object color,dark yellow and purple stripe,yes
69,Bring me a vowel that has multiple colors in it,object color,dark green and blue stripe,yes
70,Bring me a vowel that has multiple colors in it,object color,dark green and purple stripe,yes
71,Bring me a vowel that has multiple colors in it,object color,dark blue and purple stripe,yes
72,Bring me a vowel that has multiple colors in it,object color,red and yellow polka dot,yes
73,Bring me a vowel that has multiple colors in it,object color,red and green polka dot,yes
74,Bring me a vowel that has multiple colors in it,object color,red and blue polka dot,yes
75,Bring me a vowel that has multiple colors in it,object color,red and purple polka dot,yes
76,Bring me a vowel that has multiple colors in it,object color,yellow and green polka dot,yes
77,Bring me a vowel that has multiple colors in it,object color,yellow and blue polka dot,yes
78,Bring me a vowel that has multiple colors in it,object color,yellow and purple polka dot,yes
79,Bring me a vowel that has multiple colors in it,object color,green and blue polka dot,yes
80,Bring me a vowel that has multiple colors in it,object color,green and purple polka dot,yes
81,Bring me a vowel that has multiple colors in it,object color,blue and purple polka dot,yes
82,Bring me a vowel that has multiple colors in it,object color,dark red and yellow polka dot,yes
83,Bring me a vowel that has multiple colors in it,object color,dark red and green polka dot,yes
84,Bring me a vowel that has multiple colors in it,object color,dark red and blue polka dot,yes
85,Bring me a vowel that has multiple colors in it,object color,dark red and purple polka dot,yes
86,Bring me a vowel that has multiple colors in it,object color,dark yellow and green polka dot,yes
87,Bring me a vowel that has multiple colors in it,object color,dark yellow and blue polka dot,yes
88,Bring me a vowel that has multiple colors in it,object color,dark yellow and purple polka dot,yes
89,Bring me a vowel that has multiple colors in it,object color,dark green and blue polka dot,yes
90,Bring me a vowel that has multiple colors in it,object color,dark green and purple polka dot,yes
91,Bring me a vowel that has multiple colors in it,object color,dark blue and purple polka dot,yes
92,Bring me a vowel that has multiple colors in it,object color,red swirl,yes
93,Bring me a vowel that has multiple colors in it,object color,yellow swirl,yes
94,Bring me a vowel that has multiple colors in it,object color,green swirl,yes
95,Bring me a vowel that has multiple colors in it,object color,blue swirl,yes
96,Bring me a vowel that has multiple colors in it,object color,purple swirl,yes
97,Bring me a vowel that has multiple colors in it,object color,dark red swirl,yes
98,Bring me a vowel that has multiple colors in it,object color,dark yellow swirl,no
99,Bring me a vowel that has multiple colors in it,object color,dark green swirl,no
100,Bring me a vowel that has multiple colors in it,object color,dark blue swirl,yes
101,Bring me a vowel that has multiple colors in it,object color,dark purple swirl,yes
102,Bring me a vowel that has multiple colors in it,object color,red paisley,yes
103,Bring me a vowel that has multiple colors in it,object color,yellow paisley,no
104,Bring me a vowel that has multiple colors in it,object color,green paisley,yes
105,Bring me a vowel that has multiple colors in it,object color,blue paisley,yes
106,Bring me a vowel that has multiple colors in it,object color,purple paisley,yes
