,rule,group,candidate,answer
49,Bring me a pentagon made of the same material as my dream patio,object color,dark purple,no
50,Bring me a pentagon made of the same material as my dream patio,object color,dark red,yes
51,Bring me a pentagon made of the same material as my dream patio,object color,dark yellow,no
52,Bring me a pentagon made of the same material as my dream patio,object color,red and yellow stripe,no
53,Bring me a pentagon made of the same material as my dream patio,object color,red and green stripe,no
54,Bring me a pentagon made of the same material as my dream patio,object color,red and blue stripe,yes
55,Bring me a pentagon made of the same material as my dream patio,object color,red and purple stripe,no
56,Bring me a pentagon made of the same material as my dream patio,object color,yellow and green stripe,no
57,Bring me a pentagon made of the same material as my dream patio,object color,yellow and blue stripe,no
58,Bring me a pentagon made of the same material as my dream patio,object color,yellow and purple stripe,no
59,Bring me a pentagon made of the same material as my dream patio,object color,green and blue stripe,no
60,Bring me a pentagon made of the same material as my dream patio,object color,green and purple stripe,no
61,Bring me a pentagon made of the same material as my dream patio,object color,blue and purple stripe,no
62,Bring me a pentagon made of the same material as my dream patio,object color,dark red and yellow stripe,yes
63,Bring me a pentagon made of the same material as my dream patio,object color,dark red and green stripe,no
64,Bring me a pentagon made of the same material as my dream patio,object color,dark red and blue stripe,yes
65,Bring me a pentagon made of the same material as my dream patio,object color,dark red and purple stripe,no
66,Bring me a pentagon made of the same material as my dream patio,object color,dark yellow and green stripe,no
67,Bring me a pentagon made of the same material as my dream patio,object color,dark yellow and blue stripe,no
68,Bring me a pentagon made of the same material as my dream patio,object color,dark yellow and purple stripe,no
69,Bring me a pentagon made of the same material as my dream patio,object color,dark green and blue stripe,no
70,Bring me a pentagon made of the same material as my dream patio,object color,dark green and purple stripe,no
71,Bring me a pentagon made of the same material as my dream patio,object color,dark blue and purple stripe,no
72,Bring me a pentagon made of the same material as my dream patio,object color,red and yellow polka dot,no
73,Bring me a pentagon made of the same material as my dream patio,object color,red and green polka dot,no
74,Bring me a pentagon made of the same material as my dream patio,object color,red and blue polka dot,no
75,Bring me a pentagon made of the same material as my dream patio,object color,red and purple polka dot,no
76,Bring me a pentagon made of the same material as my dream patio,object color,yellow and green polka dot,no
77,Bring me a pentagon made of the same material as my dream patio,object color,yellow and blue polka dot,no
78,Bring me a pentagon made of the same material as my dream patio,object color,yellow and purple polka dot,no
79,Bring me a pentagon made of the same material as my dream patio,object color,green and blue polka dot,yes
80,Bring me a pentagon made of the same material as my dream patio,object color,green and purple polka dot,yes
81,Bring me a pentagon made of the same material as my dream patio,object color,blue and purple polka dot,no
82,Bring me a pentagon made of the same material as my dream patio,object color,dark red and yellow polka dot,no
83,Bring me a pentagon made of the same material as my dream patio,object color,dark red and green polka dot,no
84,Bring me a pentagon made of the same material as my dream patio,object color,dark red and blue polka dot,no
85,Bring me a pentagon made of the same material as my dream patio,object color,dark red and purple polka dot,no
86,Bring me a pentagon made of the same material as my dream patio,object color,dark yellow and green polka dot,no
87,Bring me a pentagon made of the same material as my dream patio,object color,dark yellow and blue polka dot,no
88,Bring me a pentagon made of the same material as my dream patio,object color,dark yellow and purple polka dot,no
89,Bring me a pentagon made of the same material as my dream patio,object color,dark green and blue polka dot,no
90,Bring me a pentagon made of the same material as my dream patio,object color,dark green and purple polka dot,no
91,Bring me a pentagon made of the same material as my dream patio,object color,dark blue and purple polka dot,no
92,Bring me a pentagon made of the same material as my dream patio,object color,red swirl,yes
93,Bring me a pentagon made of the same material as my dream patio,object color,yellow swirl,no
94,Bring me a pentagon made of the same material as my dream patio,object color,green swirl,no
95,Bring me a pentagon made of the same material as my dream patio,object color,blue swirl,no
96,Bring me a pentagon made of the same material as my dream patio,object color,purple swirl,no
97,Bring me a pentagon made of the same material as my dream patio,object color,dark red swirl,no
98,Bring me a pentagon made of the same material as my dream patio,object color,dark yellow swirl,no
99,Bring me a pentagon made of the same material as my dream patio,object color,dark green swirl,no
100,Bring me a pentagon made of the same material as my dream patio,object color,dark blue swirl,no
101,Bring me a pentagon made of the same material as my dream patio,object color,dark purple swirl,no
102,Bring me a pentagon made of the same material as my dream patio,object color,red paisley,no
103,Bring me a pentagon made of the same material as my dream patio,object color,yellow paisley,no
104,Bring me a pentagon made of the same material as my dream patio,object color,green paisley,no
105,Bring me a pentagon made of the same material as my dream patio,object color,blue paisley,no
106,Bring me a pentagon made of the same material as my dream patio,object color,purple paisley,no
