,rule,group,candidate,answer
68,Bring me a consonant that has any warm color on it,object color,dark yellow and purple stripe,yes
69,Bring me a consonant that has any warm color on it,object color,dark green and blue stripe,no
70,Bring me a consonant that has any warm color on it,object color,dark green and purple stripe,no
71,Bring me a consonant that has any warm color on it,object color,dark blue and purple stripe,no
72,Bring me a consonant that has any warm color on it,object color,red and yellow polka dot,yes
73,Bring me a consonant that has any warm color on it,object color,red and green polka dot,no
74,Bring me a consonant that has any warm color on it,object color,red and blue polka dot,no
75,Bring me a consonant that has any warm color on it,object color,red and purple polka dot,no
76,Bring me a consonant that has any warm color on it,object color,yellow and green polka dot,no
77,Bring me a consonant that has any warm color on it,object color,yellow and blue polka dot,no
78,Bring me a consonant that has any warm color on it,object color,yellow and purple polka dot,no
79,Bring me a consonant that has any warm color on it,object color,green and blue polka dot,no
80,Bring me a consonant that has any warm color on it,object color,green and purple polka dot,no
81,Bring me a consonant that has any warm color on it,object color,blue and purple polka dot,no
82,Bring me a consonant that has any warm color on it,object color,dark red and yellow polka dot,yes
83,Bring me a consonant that has any warm color on it,object color,dark red and green polka dot,no
84,Bring me a consonant that has any warm color on it,object color,dark red and blue polka dot,no
85,Bring me a consonant that has any warm color on it,object color,dark red and purple polka dot,no
86,Bring me a consonant that has any warm color on it,object color,dark yellow and green polka dot,no
87,Bring me a consonant that has any warm color on it,object color,dark yellow and blue polka dot,no
88,Bring me a consonant that has any warm color on it,object color,dark yellow and purple polka dot,no
89,Bring me a consonant that has any warm color on it,object color,dark green and blue polka dot,no
90,Bring me a consonant that has any warm color on it,object color,dark green and purple polka dot,no
91,Bring me a consonant that has any warm color on it,object color,dark blue and purple polka dot,no
92,Bring me a consonant that has any warm color on it,object color,red swirl,yes
93,Bring me a consonant that has any warm color on it,object color,yellow swirl,yes
94,Bring me a consonant that has any warm color on it,object color,green swirl,no
95,Bring me a consonant that has any warm color on it,object color,blue swirl,no
96,Bring me a consonant that has any warm color on it,object color,purple swirl,no
97,Bring me a consonant that has any warm color on it,object color,dark red swirl,yes
98,Bring me a consonant that has any warm color on it,object color,dark yellow swirl,yes
99,Bring me a consonant that has any warm color on it,object color,dark green swirl,no
100,Bring me a consonant that has any warm color on it,object color,dark blue swirl,no
101,Bring me a consonant that has any warm color on it,object color,dark purple swirl,no
102,Bring me a consonant that has any warm color on it,object color,red paisley,yes
103,Bring me a consonant that has any warm color on it,object color,yellow paisley,yes
104,Bring me a consonant that has any warm color on it,object color,green paisley,no
105,Bring me a consonant that has any warm color on it,object color,blue paisley,no
106,Bring me a consonant that has any warm color on it,object color,purple paisley,no
