,rule,object_category,group,candidate,answer
60,Rotate something I can put food in,object to rotate,object color,green and purple stripe,yes
61,Rotate something I can put food in,object to rotate,object color,blue and purple stripe,yes
62,Rotate something I can put food in,object to rotate,object color,dark red and yellow stripe,yes
63,Rotate something I can put food in,object to rotate,object color,dark red and green stripe,yes
64,Rotate something I can put food in,object to rotate,object color,dark red and blue stripe,yes
65,Rotate something I can put food in,object to rotate,object color,dark red and purple stripe,yes
66,Rotate something I can put food in,object to rotate,object color,dark yellow and green stripe,yes
67,Rotate something I can put food in,object to rotate,object color,dark yellow and blue stripe,yes
68,Rotate something I can put food in,object to rotate,object color,dark yellow and purple stripe,yes
69,Rotate something I can put food in,object to rotate,object color,dark green and blue stripe,yes
70,Rotate something I can put food in,object to rotate,object color,dark green and purple stripe,yes
71,Rotate something I can put food in,object to rotate,object color,dark blue and purple stripe,yes
72,Rotate something I can put food in,object to rotate,object color,red and yellow polka dot,yes
73,Rotate something I can put food in,object to rotate,object color,red and green polka dot,yes
74,Rotate something I can put food in,object to rotate,object color,red and blue polka dot,yes
75,Rotate something I can put food in,object to rotate,object color,red and purple polka dot,yes
76,Rotate something I can put food in,object to rotate,object color,yellow and green polka dot,yes
77,Rotate something I can put food in,object to rotate,object color,yellow and blue polka dot,yes
78,Rotate something I can put food in,object to rotate,object color,yellow and purple polka dot,yes
79,Rotate something I can put food in,object to rotate,object color,green and blue polka dot,yes
80,Rotate something I can put food in,object to rotate,object color,green and purple polka dot,yes
81,Rotate something I can put food in,object to rotate,object color,blue and purple polka dot,yes
82,Rotate something I can put food in,object to rotate,object color,dark red and yellow polka dot,yes
83,Rotate something I can put food in,object to rotate,object color,dark red and green polka dot,yes
84,Rotate something I can put food in,object to rotate,object color,dark red and blue polka dot,yes
85,Rotate something I can put food in,object to rotate,object color,dark red and purple polka dot,yes
86,Rotate something I can put food in,object to rotate,object color,dark yellow and green polka dot,yes
87,Rotate something I can put food in,object to rotate,object color,dark yellow and blue polka dot,yes
88,Rotate something I can put food in,object to rotate,object color,dark yellow and purple polka dot,yes
89,Rotate something I can put food in,object to rotate,object color,dark green and blue polka dot,yes
90,Rotate something I can put food in,object to rotate,object color,dark green and purple polka dot,yes
91,Rotate something I can put food in,object to rotate,object color,dark blue and purple polka dot,yes
92,Rotate something I can put food in,object to rotate,object color,red swirl,yes
93,Rotate something I can put food in,object to rotate,object color,yellow swirl,yes
94,Rotate something I can put food in,object to rotate,object color,green swirl,yes
95,Rotate something I can put food in,object to rotate,object color,blue swirl,yes
96,Rotate something I can put food in,object to rotate,object color,purple swirl,yes
97,Rotate something I can put food in,object to rotate,object color,dark red swirl,yes
98,Rotate something I can put food in,object to rotate,object color,dark yellow swirl,yes
99,Rotate something I can put food in,object to rotate,object color,dark green swirl,yes
100,Rotate something I can put food in,object to rotate,object color,dark blue swirl,yes
101,Rotate something I can put food in,object to rotate,object color,dark purple swirl,yes
102,Rotate something I can put food in,object to rotate,object color,red paisley,yes
103,Rotate something I can put food in,object to rotate,object color,yellow paisley,yes
104,Rotate something I can put food in,object to rotate,object color,green paisley,yes
105,Rotate something I can put food in,object to rotate,object color,blue paisley,yes
106,Rotate something I can put food in,object to rotate,object color,purple paisley,yes
