,rule,object_category,group,candidate,answer
170,Sweep the scraps into the sink,object to sweep into,object type,iPad,no
171,Sweep the scraps into the sink,object to sweep into,object type,phone,no
172,Sweep the scraps into the sink,object to sweep into,object type,laptop,no
173,Sweep the scraps into the sink,object to sweep into,object type,bin,no
174,Sweep the scraps into the sink,object to sweep into,object type,stove,no
175,Sweep the scraps into the sink,object to sweep into,object type,sharp block,yes
176,Sweep the scraps into the sink,object to sweep into,object type,knife,no
177,Sweep the scraps into the sink,object to sweep into,object type,rug,no
178,Sweep the scraps into the sink,object to sweep into,object type,box,no
179,Sweep the scraps into the sink,object to sweep into,object color,brick,yes
180,Sweep the scraps into the sink,object to sweep into,object color,tiles,yes
181,Sweep the scraps into the sink,object to sweep into,object color,wooden,yes
182,Sweep the scraps into the sink,object to sweep into,object color,granite,yes
183,Sweep the scraps into the sink,object to sweep into,object color,plastic,yes
184,Sweep the scraps into the sink,object to sweep into,object color,carpet,yes
185,Sweep the scraps into the sink,object to sweep into,object color,polka dot,no
186,Sweep the scraps into the sink,object to sweep into,object color,checkerboard,yes
187,Sweep the scraps into the sink,object to sweep into,object color,tiger,yes
188,Sweep the scraps into the sink,object to sweep into,object color,magma,yes
189,Sweep the scraps into the sink,object to sweep into,object color,rainbow,yes
190,Sweep the scraps into the sink,object to sweep into,object color,blue,no
191,Sweep the scraps into the sink,object to sweep into,object color,cyan,yes
192,Sweep the scraps into the sink,object to sweep into,object color,green,yes
193,Sweep the scraps into the sink,object to sweep into,object color,olive,yes
194,Sweep the scraps into the sink,object to sweep into,object color,orange,yes
195,Sweep the scraps into the sink,object to sweep into,object color,pink,yes
196,Sweep the scraps into the sink,object to sweep into,object color,purple,yes
197,Sweep the scraps into the sink,object to sweep into,object color,red,yes
198,Sweep the scraps into the sink,object to sweep into,object color,yellow,yes
199,Sweep the scraps into the sink,object to sweep into,object color,dark blue,yes
200,Sweep the scraps into the sink,object to sweep into,object color,dark cyan,yes
201,Sweep the scraps into the sink,object to sweep into,object color,dark green,yes
202,Sweep the scraps into the sink,object to sweep into,object color,dark orange,yes
203,Sweep the scraps into the sink,object to sweep into,object color,dark pink,yes
204,Sweep the scraps into the sink,object to sweep into,object color,dark purple,yes
205,Sweep the scraps into the sink,object to sweep into,object color,dark red,yes
206,Sweep the scraps into the sink,object to sweep into,object color,dark yellow,yes
207,Sweep the scraps into the sink,object to sweep into,object color,red and yellow stripe,yes
208,Sweep the scraps into the sink,object to sweep into,object color,red and green stripe,yes
209,Sweep the scraps into the sink,object to sweep into,object color,red and blue stripe,yes
210,Sweep the scraps into the sink,object to sweep into,object color,red and purple stripe,yes
211,Sweep the scraps into the sink,object to sweep into,object color,yellow and green stripe,yes
212,Sweep the scraps into the sink,object to sweep into,object color,yellow and blue stripe,yes
213,Sweep the scraps into the sink,object to sweep into,object color,yellow and purple stripe,no
214,Sweep the scraps into the sink,object to sweep into,object color,green and blue stripe,yes
215,Sweep the scraps into the sink,object to sweep into,object color,green and purple stripe,yes
216,Sweep the scraps into the sink,object to sweep into,object color,blue and purple stripe,yes
217,Sweep the scraps into the sink,object to sweep into,object color,dark red and yellow stripe,yes
218,Sweep the scraps into the sink,object to sweep into,object color,dark red and green stripe,yes
219,Sweep the scraps into the sink,object to sweep into,object color,dark red and blue stripe,yes
220,Sweep the scraps into the sink,object to sweep into,object color,dark red and purple stripe,no
221,Sweep the scraps into the sink,object to sweep into,object color,dark yellow and green stripe,yes
222,Sweep the scraps into the sink,object to sweep into,object color,dark yellow and blue stripe,yes
223,Sweep the scraps into the sink,object to sweep into,object color,dark yellow and purple stripe,yes
224,Sweep the scraps into the sink,object to sweep into,object color,dark green and blue stripe,yes
225,Sweep the scraps into the sink,object to sweep into,object color,dark green and purple stripe,yes
226,Sweep the scraps into the sink,object to sweep into,object color,dark blue and purple stripe,no
227,Sweep the scraps into the sink,object to sweep into,object color,red and yellow polka dot,yes
228,Sweep the scraps into the sink,object to sweep into,object color,red and green polka dot,yes
229,Sweep the scraps into the sink,object to sweep into,object color,red and blue polka dot,yes
230,Sweep the scraps into the sink,object to sweep into,object color,red and purple polka dot,yes
231,Sweep the scraps into the sink,object to sweep into,object color,yellow and green polka dot,yes
232,Sweep the scraps into the sink,object to sweep into,object color,yellow and blue polka dot,yes
233,Sweep the scraps into the sink,object to sweep into,object color,yellow and purple polka dot,yes
234,Sweep the scraps into the sink,object to sweep into,object color,green and blue polka dot,yes
235,Sweep the scraps into the sink,object to sweep into,object color,green and purple polka dot,yes
236,Sweep the scraps into the sink,object to sweep into,object color,blue and purple polka dot,yes
237,Sweep the scraps into the sink,object to sweep into,object color,dark red and yellow polka dot,yes
238,Sweep the scraps into the sink,object to sweep into,object color,dark red and green polka dot,yes
239,Sweep the scraps into the sink,object to sweep into,object color,dark red and blue polka dot,yes
240,Sweep the scraps into the sink,object to sweep into,object color,dark red and purple polka dot,yes
241,Sweep the scraps into the sink,object to sweep into,object color,dark yellow and green polka dot,yes
242,Sweep the scraps into the sink,object to sweep into,object color,dark yellow and blue polka dot,yes
243,Sweep the scraps into the sink,object to sweep into,object color,dark yellow and purple polka dot,yes
244,Sweep the scraps into the sink,object to sweep into,object color,dark green and blue polka dot,yes
245,Sweep the scraps into the sink,object to sweep into,object color,dark green and purple polka dot,yes
246,Sweep the scraps into the sink,object to sweep into,object color,dark blue and purple polka dot,yes
247,Sweep the scraps into the sink,object to sweep into,object color,red swirl,yes
248,Sweep the scraps into the sink,object to sweep into,object color,yellow swirl,yes
249,Sweep the scraps into the sink,object to sweep into,object color,green swirl,yes
250,Sweep the scraps into the sink,object to sweep into,object color,blue swirl,yes
251,Sweep the scraps into the sink,object to sweep into,object color,purple swirl,yes
252,Sweep the scraps into the sink,object to sweep into,object color,dark red swirl,yes
253,Sweep the scraps into the sink,object to sweep into,object color,dark yellow swirl,yes
254,Sweep the scraps into the sink,object to sweep into,object color,dark green swirl,yes
255,Sweep the scraps into the sink,object to sweep into,object color,dark blue swirl,yes
256,Sweep the scraps into the sink,object to sweep into,object color,dark purple swirl,yes
257,Sweep the scraps into the sink,object to sweep into,object color,red paisley,yes
258,Sweep the scraps into the sink,object to sweep into,object color,yellow paisley,yes
259,Sweep the scraps into the sink,object to sweep into,object color,green paisley,yes
260,Sweep the scraps into the sink,object to sweep into,object color,blue paisley,yes
261,Sweep the scraps into the sink,object to sweep into,object color,purple paisley,yes
